Station Name,Address,Latitude,Longitude,Connector Type,Quantity,Type,Unnamed: 7,street_name,zip_code
AMS-2803,35 Van Hanxleden Houwertstraat 1063 HP,52.38201,4.823655,TYPE 2,2,Regular Public & Semi-Public Charging Points (AC):,regular public and semi-public charging points,Van Hanxleden Houwertstraat,1063 HP
AMS-2825,46IV Honthorststraat 1071 DH,52.35792,4.884502,TYPE 2,2,Regular Public & Semi-Public Charging Points (AC):,regular public and semi-public charging points,Honthorststraat,1071 DH
AMS-3293,18 Paul van Vlissingenstraat 1096 BH,52.33273,4.918987,TYPE 2,2,Regular Public & Semi-Public Charging Points (AC):,regular public and semi-public charging points,Paul van Vlissingenstraat,1096 BH
AMS-2767,343 IJburglaan 1086 ZJ,52.36253,4.982428,TYPE 2,2,Regular Public & Semi-Public Charging Points (AC):,regular public and semi-public charging points,IJburglaan,1086 ZJ
AMS-3018,640 Kantershof 1104 HJ,52.31983,4.986714,TYPE 2,2,Regular Public & Semi-Public Charging Points (AC):,regular public and semi-public charging points,Kantershof,1104 HJ
AMS-2240,5 Pracanalaan 1060 RC,52.34848,4.777862,TYPE 2,2,Regular Public & Semi-Public Charging Points (AC):,regular public and semi-public charging points,Pracanalaan,1060 RC
AMS-1030,18B Reimerswaalstraat 1069 AH,52.36361,4.793389,TYPE 2,2,Regular Public & Semi-Public Charging Points (AC):,regular public and semi-public charging points,Reimerswaalstraat,1069 AH
AMS-1046,26 Theemsweg 1043 BJ,52.38974,4.811167,TYPE 2,2,Regular Public & Semi-Public Charging Points (AC):,regular public and semi-public charging points,Theemsweg,1043 BJ
AMS-3521,2 Bakkumstraat 1024 VX,52.39473,4.954608,TYPE 2,2,Regular Public & Semi-Public Charging Points (AC):,regular public and semi-public charging points,Bakkumstraat,1024 VX
AMS-0924,469 Jozef Israėlskade 1074 SW,52.35009,4.909076,TYPE 2,2,Regular Public & Semi-Public Charging Points (AC):,regular public and semi-public charging points,Jozef Israėlskade,1074 SW
AMS-1948,86 Herentalsstraat 1066 NL,52.34829,4.80943,TYPE 2,2,Regular Public & Semi-Public Charging Points (AC):,regular public and semi-public charging points,Herentalsstraat,1066 NL
AMS-1094,31 Koningslaan 1075 AB,52.35526,4.862359,TYPE 2,2,Regular Public & Semi-Public Charging Points (AC):,regular public and semi-public charging points,Koningslaan,1075 AB
