Address,street name,population,EV Vehicles,Fast charging points,Private charging at home,Regular Public & Semi-Public Charging Points (AC):,Latitude,Longitude,street_name
F84 Middelveldsche Akerpolder/Sloten,F84 Middelveldsche Akerpolder/Sloten,14289,896.918619,5.52481244,606.9197065,169.9190641,52.3385948,4.7983068,Middelveldsche Akerpolder/Sloten
F85 Slotervaart,F85 Slotervaart,8088,507.6826783,3.127208553,343.534648,96.1792561,52.3562134,4.8272573,Slotervaart
F86 Overtoomse Veld,F86 Overtoomse Veld,14336,899.8688027,5.542984893,608.9160131,170.4779693,52.3641277,4.8404649,Overtoomse Veld
F87 Westlandgracht,F87 Westlandgracht,11398,715.4509356,4.40701324,484.1256081,135.5404502,52.3489388,4.8399818,Westlandgracht
F88 Sloter-/Riekerpolder,F88 Sloter-/Riekerpolder,14144,887.8169883,5.468748488,600.760888,168.1947822,52.344228,4.827533,Sloter-/Riekerpolder
nvt,nvt,10730,673.5206649,4.148732415,455.7525684,127.5968618,52.3688223,4.9015934,nvt
nvt,nvt,3931,246.7483443,1.519913059,166.9676931,46.74587731,52.3688223,4.9015934,nvt
K24 Oude Pijp,K24 Oude Pijp,14630,918.3231433,5.656659388,621.4035486,173.9740995,52.3548487,4.8907826,Oude Pijp
K25 Nieuwe Pijp,K25 Nieuwe Pijp,12375,776.7770949,4.784768279,525.6233024,147.1585428,52.3526241,4.8961975,Nieuwe Pijp
K26 Diamantbuurt,K26 Diamantbuurt,8080,507.1805194,3.124115369,343.1948512,96.0841233,52.3509075,4.9054325,Diamantbuurt
K44 Hoofddorppleinbuurt,K44 Hoofddorppleinbuurt,11778,739.3034848,4.553939458,500.26596,140.059258,52.3511818,4.8503228,Hoofddorppleinbuurt
K45 Schinkelbuurt,K45 Schinkelbuurt,3983,250.0123773,1.540018752,169.1763728,47.36424048,52.3490269,4.85409,Schinkelbuurt
K46 Willemspark,K46 Willemspark,5568,349.5026153,2.15285574,236.4986301,66.21242556,52.3534239,4.860667,Willemspark
K47 Museumkwartier,K47 Museumkwartier,12537,786.9458133,4.847405246,532.5041892,149.0849819,52.3553934,4.8776033,Museumkwartier
K48 Stadionbuurt,K48 Stadionbuurt,11863,744.6389234,4.586804533,503.8763019,141.0700439,52.3454804,4.8592705,Stadionbuurt
K49 Apollobuurt,K49 Apollobuurt,8501,533.6066331,3.286894153,361.0766621,101.0904867,52.3474499,4.8762019,Apollobuurt
K50 Duivelseiland,K50 Duivelseiland,,0,0,0,0,52.3531013,4.8846654,Duivelseiland
K52 Scheldebuurt,K52 Scheldebuurt,14832,931.0026563,5.734762272,629.9834198,176.3762026,52.3427298,4.8936158,Scheldebuurt
K53 IJselbuurt,K53 IJselbuurt,5227,328.0980909,2.021008792,222.014788,62.15739016,52.3482427,4.9053788,IJselbuurt
K54 Rijnbuurt,K54 Rijnbuurt,9084,570.2014651,3.512309903,385.8393599,108.0232891,52.3409282,4.9049106,Rijnbuurt
K59 Station Zuid/WTC e.o.,K59 Station Zuid/WTC e.o.,1378,86.4968757,0.532800864,58.53001298,16.386624,52.3422906,4.8719751,Station Zuid
K90 Buitenveldert-West,K90 Buitenveldert-West,13568,851.6615454,5.246039274,576.2955124,161.3452209,52.3304457,4.8682306,Buitenveldert-West
K91 Buitenveldert-Oost,K91 Buitenveldert-Oost,7966,500.0247546,3.080037504,338.3527456,94.72848097,52.3324135,4.8851567,Buitenveldert-Oost
M27 Weesperzijde,M27 Weesperzijde,5927,372.0369973,2.291662351,251.7470152,70.48150975,52.353333,4.909444,Weesperzijde
M28 Oosterparkbuurt,M28 Oosterparkbuurt,10627,667.0553687,4.108907677,451.3776836,126.372027,52.359167,4.918056,Oosterparkbuurt
M29 Dapperbuurt,M29 Dapperbuurt,10043,630.3977668,3.883105279,426.5725112,119.427333,52.362222,4.927778,Dapperbuurt
M30 Transvaalbuurt,M30 Transvaalbuurt,9101,571.2685528,3.518882918,386.5614283,108.2254463,52.3530632,4.916932,Transvaalbuurt
M31 Indische Buurt West,M31 Indische Buurt West,12519,785.8159557,4.840445583,531.7396462,148.8709331,52.3636588,4.9355226,Indische Buurt West
M32 Indische Buurt Oost,M32 Indische Buurt Oost,9750,612.006196,3.769817432,414.1274503,115.9430943,52.3617141,4.9501295,Indische Buurt Oost
M33 Oostelijk Havengebied,M33 Oostelijk Havengebied,18758,1177.437151,7.252742092,796.7387398,223.0626219,52.3734747,4.9384372,Oostelijk Havengebied
M34 Zeeburgereiland/Nieuwe Diep,M34 Zeeburgereiland/Nieuwe Diep,4988,313.0960929,1.928599934,211.8633561,59.3152979,52.3608102,4.955784,Zeeburgereiland/Nieuwe Diep
M35 IJburg West,M35 IJburg West,15699,985.4241304,6.069986038,666.808907,186.6862193,52.3586555,4.9911379,IJburg West
nvt,nvt,71,4.456660504,0.027452004,3.015697331,0.844303559,52.3688223,4.9015934,nvt
M51 IJburg Zuid,M51 IJburg Zuid,8153,511.7627196,3.152340669,346.2954977,96.95221006,52.3500156,5.006204,IJburg Zuid
M55 Frankendael,M55 Frankendael,11890,746.3337098,4.597244028,505.0231164,141.3911171,52.3501128,4.9249675,Frankendael
M56 Middenmeer,M56 Middenmeer,15538,975.3181819,6.007735719,659.9704947,184.7716718,52.3511236,4.9482332,Middenmeer
M57 Betondorp,M57 Betondorp,3139,197.0346102,1.213687889,133.3278017,37.32773057,52.340278,4.943056,Betondorp
M58 De Omval,M58 De Omval,5250,329.5417979,2.029901694,222.991704,62.43089695,52.3363412,4.9190299,De Omval
N60 Volewijck,N60 Volewijck,9436,592.296458,3.648409978,400.7904227,112.2091321,52.3937558,4.9176199,Volewijck
N61 IJplein/Vogelbuurt,N61 IJplein/Vogelbuurt,8139,510.8839415,3.146927598,345.7008532,96.78572767,52.3883203,4.9199773,IJplein/Vogelbuurt
N62 Tuindorp Nieuwendam,N62 Tuindorp Nieuwendam,3487,218.8785236,1.348241373,148.1089661,41.46600717,52.390564,4.9461513,Tuindorp Nieuwendam
N63 Tuindorp Buiksloot,N63 Tuindorp Buiksloot,1897,119.0744363,0.733471146,80.57433572,22.5583641,52.3926468,4.9282299,Tuindorp Buiksloot
N64 Nieuwendammerdijk/Buiksloterdijk,N64 Nieuwendammerdijk/Buiksloterdijk,1668,104.7001369,0.644928767,70.84764997,19.83518783,52.3877371,4.9392702,Nieuwendammerdijk/Buiksloterdijk
N65 Tuindorp Oostzaan,N65 Tuindorp Oostzaan,12013,754.0544034,4.644801724,510.2474934,142.8537838,52.4119909,4.8932176,Tuindorp Oostzaan
N66 Oostzanerwerf,N66 Oostzanerwerf,8856,555.8899356,3.424154172,376.1551487,105.3120045,52.4216359,4.8884659,Oostzanerwerf
N67 Kadoelen,N67 Kadoelen,3506,220.0711511,1.355587684,148.9159837,41.69194756,52.418266,4.9063234,Kadoelen
N68 Nieuwendam-Noord,N68 Nieuwendam-Noord,13560,851.1593865,5.24294609,575.9557156,161.2500881,52.3934948,4.9558257,Nieuwendam-Noord
N69 Buikslotermeer,N69 Buikslotermeer,11180,701.7671048,4.322723989,474.8661431,132.9480815,52.4011401,4.9358496,Buikslotermeer
N70 Banne Buiksloot,N70 Banne Buiksloot,14814,929.8727987,5.727802609,629.2188769,176.1621538,52.4057469,4.9180914,Banne Buiksloot
N71 Buiksloterham,N71 Buiksloterham,5813,364.8812326,2.247584485,246.9049096,69.12586742,52.3940049,4.9022003,Buiksloterham
N72 Nieuwendammerham,N72 Nieuwendammerham,249,15.6296967,0.096275338,10.57617796,2.961008255,52.3849835,4.9360072,Nieuwendammerham
N73 Waterland,N73 Waterland,2414,151.5264571,0.933368131,102.5337092,28.706321,52.3956517,4.9948817,Waterland
nvt,nvt,3855,241.9778344,1.490527815,163.7396227,45.84211576,52.3688223,4.9015934,nvt
T92 Amstel III/Bullewijk,T92 Amstel III/Bullewijk,1624,101.9382628,0.627916257,68.97876711,19.31195746,52.2951488,4.9512518,Amstel III/Bullewijk
"T93 Bijlmer Centrum (D,F,H)","T93 Bijlmer Centrum (D,F,H)",24563,1541.816225,9.497233394,1043.303853,292.0933565,52.31527,4.9521719,"Bijlmer Centrum (D,F,H)"
"T94 Bijlmer Oost (E,G,K)","T94 Bijlmer Oost (E,G,K)",29846,1873.429428,11.53989447,1267.697219,354.9166762,52.3165193,4.9804894,"Bijlmer Oost (E,G,K)"
T95 Nellestein,T95 Nellestein,3066,192.4524099,1.185462589,130.2271552,36.45964382,52.3065615,4.9933607,Nellestein
T96 Holendrecht/Reigersbos,T96 Holendrecht/Reigersbos,18117,1137.201667,7.004900761,769.5125146,215.4401067,52.2958087,4.9760533,Holendrecht/Reigersbos
T97 Gein,T97 Gein,11233,705.0939077,4.34321633,477.1172974,133.5783363,52.2959803,4.9914503,Gein
T98 Driemond,T98 Driemond,1627,102.1265724,0.629076201,69.10619094,19.34763225,52.3062645,5.0148006,Driemond
Amsterdam,Amsterdam,872497,54766.52,,,0,52.3675734,4.9041389,Amsterdam
