Station Name,Address,Latitude,Longitude,Connector Type,Quantity,Type,street_name
AMS-2517,109III Hudsonstraat 1057 SC,52.36781,4.853134,TYPE 2,4,Regular Public & Semi-Public Charging Points (AC):,Hudsonstraat
AMS-1263,195III Orteliusstraat 1056 NP,52.36997,4.849231,TYPE 2,4,Regular Public & Semi-Public Charging Points (AC):,Orteliusstraat
AMS-0359,97HS Gillis van Ledenberchstraat 1052 VC,52.37629,4.872118,TYPE 2,4,Regular Public & Semi-Public Charging Points (AC):,Gillis van Ledenberchstraat
AMS-2524,162I Van Spilbergenstraat 1057 RR,52.36876,4.850952,TYPE 2,4,Regular Public & Semi-Public Charging Points (AC):,Van Spilbergenstraat
AMS-0442,127II Stadionweg 1077 SL,52.34679,4.87187,TYPE 2,4,Regular Public & Semi-Public Charging Points (AC):,Stadionweg
AMS-0457,9A Pieter Lodewijk Takstraat 1073 KH,52.3497,4.899586,TYPE 2,4,Regular Public & Semi-Public Charging Points (AC):,Pieter Lodewijk Takstraat
AMS-1566,78 Louis Bouwmeesterstraat 1065 KX,52.35228,4.824305,TYPE 2,4,Regular Public & Semi-Public Charging Points (AC):,Louis Bouwmeesterstraat
AMS-0083,66II Tweede Atjehstraat 1094 LK,52.36203,4.933463,TYPE 2,4,Regular Public & Semi-Public Charging Points (AC):,Tweede Atjehstraat
AMS-3248,58III Nolensstraat 1067 KD,52.3759,4.80032,TYPE 2,4,Regular Public & Semi-Public Charging Points (AC):,Nolensstraat
AMS-1471,249 Comeniusstraat 1065 BP,52.35907,4.830241,TYPE 2,4,Regular Public & Semi-Public Charging Points (AC):,Comeniusstraat
AMS-2359,11 Nienke van Hichtumstraat 1064 MH,52.37971,4.811488,TYPE 2,4,Regular Public & Semi-Public Charging Points (AC):,Nienke van Hichtumstraat
AMS-0661,39 Van Boetzelaerstraat 1051 EB,52.38226,4.872469,TYPE 2,4,Regular Public & Semi-Public Charging Points (AC):,Van Boetzelaerstraat
AMS-2445,21 Senecastraat 1064 ZJ,52.37344,4.813141,TYPE 2,4,Regular Public & Semi-Public Charging Points (AC):,Senecastraat
AMS-2579,43HS Tweede Jan van der Heijdenstraat 1074 XN,52.35593,4.902203,TYPE 2,4,Regular Public & Semi-Public Charging Points (AC):,Tweede Jan van der Heijdenstraat
