OBJECTNUMMER,LABEL,link no., year,street_name,24 hours,daylight,evening,nightlv,daymv,eveningmv,nightmv,dayzv,eveningzv,nightzv,day bus,evening bus,night bus,dagmr,eveningmr,nightmr,WKT_LNG_LAT,WKT_LAT_LNG,Longitude,Latitude
81,Link 3158,3158,2019,Osdorperweg,7889,477,291,115,2,1,1,3,1,1,0,0,0,2,2,1,"LINESTRING(4.7847117 52.3662031,4.7847044 52.3662702,4.7845527 52.3665826,4.7844093 52.3667414,4.7834442 52.3673443,4.7825789 52.3678463,4.7825087 52.3678645)","LINESTRING(52.3662031 4.7847117,52.3662702 4.7847044,52.3665826 4.7845527,52.3667414 4.7844093,52.3673443 4.7834442,52.3678463 4.7825789,52.3678645 4.7825087)",4.7836102,52.3670338
89,Link 3159,3159,2019,Osdorperweg,8568,518,316,125,3,1,1,3,1,1,0,0,0,3,2,1,"LINESTRING(4.7847117 52.3662031,4.7851965 52.3654335,4.785471 52.3649136)","LINESTRING(52.3662031 4.7847117,52.3654335 4.7851965,52.3649136 4.785471)",4.78509135,52.36555835
97,Link 3193,3193,2019,Dortmuiden,12992,640,390,154,67,20,16,92,19,28,8,6,2,3,2,1,"LINESTRING(4.778454 52.3977091,4.7784266 52.3975908,4.7784287 52.3957017)","LINESTRING(52.3977091 4.778454,52.3975908 4.7784266,52.3957017 4.7784287)",4.7784403,52.3967054
105,Link 3194,3194,2019,WESTPOORTWEG,6383,349,213,84,17,5,4,23,5,7,4,3,1,2,1,0,"LINESTRING(4.7797771 52.3975937,4.7861394 52.3975869)","LINESTRING(52.3975937 4.7797771,52.3975869 4.7861394)",4.78295825,52.3975903
113,Link 3405,3405,2019,Langsom,9906,590,360,143,6,2,1,6,1,2,3,3,2,3,2,1,"LINESTRING(4.7924509 52.3410407,4.7925233 52.3410894,4.7927841 52.3413707)","LINESTRING(52.3410407 4.7924509,52.3410894 4.7925233,52.3413707 4.7927841)",4.7926175,52.3412057
121,Link 3444,3444,2019,Langsom,10164,606,370,146,6,2,1,6,1,2,3,3,2,3,2,1,"LINESTRING(4.7924509 52.3410407,4.7924071 52.3410144,4.7922816 52.3408584)","LINESTRING(52.3410407 4.7924509,52.3410144 4.7924071,52.3408584 4.7922816)",4.79236625,52.34094955
129,Link 3445,3445,2019,SLOTERBRUG,10164,606,370,146,6,2,1,6,1,2,3,3,2,3,2,1,"LINESTRING(4.7922816 52.3408584,4.7921519 52.3407612,4.7917414 52.3405729)","LINESTRING(52.3408584 4.7922816,52.3407612 4.7921519,52.3405729 4.7917414)",4.7920115,52.34071565
137,Link 3525,3525,2019,Pieter Calandlaan,8280,491,300,119,7,2,2,8,2,2,0,0,0,2,2,1,"LINESTRING(4.7858391 52.3484737,4.7864568 52.3486288,4.786588 52.3486923,4.7868068 52.34886)","LINESTRING(52.3484737 4.7858391,52.3486288 4.7864568,52.3486923 4.786588,52.34886 4.7868068)",4.78632295,52.34866685
145,Link 3563,3563,2019,Pieter Calandlaan,7918,470,287,114,7,2,2,8,2,2,0,0,1,2,2,1,"LINESTRING(4.7894321 52.350019,4.7879125 52.3496403)","LINESTRING(52.350019 4.7894321,52.3496403 4.7879125)",4.7886723,52.34982965
153,Link 3609,3609,2019,Pieter Calandlaan,12305,736,449,178,8,2,2,9,2,3,0,0,1,4,2,1,"LINESTRING(4.7923429 52.3505459,4.7931553 52.3506933)","LINESTRING(52.3505459 4.7923429,52.3506933 4.7931553)",4.7927491,52.3506196
161,Link 3623,3623,2019,Baden Powellweg,11660,703,429,170,4,1,1,5,1,2,0,0,0,4,2,1,"LINESTRING(4.7926155 52.3534234,4.7931145 52.352451)","LINESTRING(52.3534234 4.7926155,52.352451 4.7931145)",4.792865,52.3529372
169,Link 3645,3645,2019,Tussen Meer,966,58,35,14,1,0,0,1,0,0,0,0,0,0,0,0,"LINESTRING(4.7874592 52.3557438,4.7866856 52.3555865,4.7865974 52.355595,4.7866676 52.3554946)","LINESTRING(52.3557438 4.7874592,52.3555865 4.7866856,52.355595 4.7865974,52.3554946 4.7866676)",4.7870283,52.3556192
177,Link 3655,3655,2019,Baden Powellweg,11171,674,411,163,4,1,1,5,1,2,0,0,1,3,2,1,"LINESTRING(4.7899084 52.3584059,4.7901244 52.3579545)","LINESTRING(52.3584059 4.7899084,52.3579545 4.7901244)",4.7900164,52.3581802
