,street name,population,Street Area,,Population density,EV Vehicles,Regular public charging points,Regular Semi-public charging points,Fast charging points,Private charging at home,Regular Public & Semi-Public Charging Points (AC):
,N69 Buikslotermeer,11180,44.46319965,0.1108170527,4.92728074,701.7671048,85.42303941,47.52504209,4.322723989,474.8661431,132.9480815
,N70 Banne Buiksloot,14814,44.46319965,0.1468375509,6.528867342,929.8727987,113.1893476,62.97280622,5.727802609,629.2188769,176.1621538
,N71 Buiksloterham,5813,44.46319965,0.05761892018,2.561921551,364.8812326,44.41539607,24.71047135,2.247584485,246.9049096,69.12586742
,N72 Nieuwendammerham,249,44.46319965,0.002468107883,0.1097399736,15.6296967,1.902534599,1.058473657,0.0962753375,10.57617796,2.961008255
,N73 Waterland,2414,44.46319965,0.02392776076,1.063904804,151.5264571,18.44465269,10.2616683,0.9333681314,102.5337092,28.706321
,nvt,3855,44.46319965,0.03821106783,1.698986338,241.9778344,29.45490312,16.38721264,1.490527815,163.7396227,45.84211576
T Zuidoost,T92 Amstel III/Bullewijk,1624,20.51377818,0.01802921977,0.3698474152,101.9382628,12.40849875,6.903458708,0.6279162574,68.97876711,19.31195746
,"T93 Bijlmer Centrum (D,F,H)",24563,20.51377818,0.272691949,5.593942154,1541.816225,187.6785436,104.414813,9.497233394,1043.303853,292.0933565
,"T94 Bijlmer Oost (E,G,K)",29846,20.51377818,0.331342422,6.797084946,1873.429428,228.044368,126.8723083,11.53989447,1267.697219,354.9166762
,T95 Nellestein,3066,20.51377818,0.03403792353,0.6982464131,192.4524099,23.42638988,13.03325394,1.185462589,130.2271552,36.45964382
,T96 Holendrecht/Reigersbos,18117,20.51377818,0.2011301568,4.125939422,1137.201667,138.4265836,77.01352304,7.004900761,769.5125146,215.4401067
,T97 Gein,11233,20.51377818,0.124705804,2.558187201,705.0939077,85.82799657,47.7503397,4.34321633,477.1172974,133.5783363
,T98 Driemond,1627,20.51377818,0.01806252498,0.3705306308,102.1265724,12.43142085,6.916211403,0.6290762012,69.10619094,19.34763225
